District,2001,2011
Female population (in number),Female population (in number)
Dhanusa,321942,376239
Kavrepalanchok,196725,199001
Makwanpur,193460,213793
Nawalparasi_E,N/A,N/A
Rolpa,108412,121406
Rukum_W,N/A,N/A
Rukum_E,N/A,N/A
Nawalparasi_W,N/A,N/A
Bhojpur,105256,96406
Dhankuta,84638,86897
Ilam,140372,149128
Jhapa,346434,427554
Khotang,118564,109220
Morang,420325,498658
Okhaldhunga,81341,79297
Panchthar,103014,101631
Sankhuwasabha,81350,83517
Solukhumbu,54513,54686
Sunsari,310103,392258
Taplejung,68493,66909
Terhathum,58179,54426
Udayapur,143933,167820
Bara,269738,336464
Mahottari,265576,316564
Parsa,236808,288659
Rautahat,262886,335643
Saptari,278873,325438
Siraha,278466,327227
Sarlahi,306519,379973
Sindhupalchok,153845,149447
Lalitpur,165330,230050
Bhaktapur,110663,149767
Kathmandu,505835,831239
Nuwakot,145747,144684
Rasuwa,21376,21825
Nawalparasi,284613,339833
Dhading,172794,178233
Sindhuli,140541,154069
Ramechhap,111555,109260
Dolakha,104266,99554
Chitawan,236964,300897
Baglung,145409,150616
Gorkha,153727,150020
Kaski,195532,255713
Lamjung,93743,91811
Manang,4553,2877
Mustang,6801,6359
Dolpa,14810,18462
Myagdi,61269,62246
Parbat,84884,81289
Syangja,173701,163315
Tanahu,168449,179878
Arghakhanchi,112042,111366
Banke,187609,247058
Bardiya,189994,221496
Dang,233422,291524
Gulmi,162883,159165
Kapilbastu,234101,286337
Palpa,143490,145340
Pyuthan,114094,128049
Rupandehi,347646,448003
Dailekh,115076,134780
Humla,19633,25025
Jajarkot,66360,85767
Jumla,43579,54023
Kalikot,52391,68115
Mugu,21687,27261
Salyan,106666,126475
Surkhet,145710,181383
Achham,122287,137469
Baitadi,120880,133491
Bajhang,86350,102365
Bajura,54947,69106
Dadeldhura,65197,75538
Doti,103545,114494
Rukum,93006,109408
Source(Female population),"Central Bureau of Statistics (1952, 1954, 1961, 1971, 1981, 2001, 2011). Population Census of Nepal. Kathmandu: Central Bureau of Statistics."
Unit(Female population),in number
