District,2001,2011
Literacy rate (in percentage),Literacy rate (in percentage)
Dhanusa,48.7,50.4
Kavrepalanchok,64,69.8
Makwanpur,63.4,67.9
Nawalparasi_E,N/A,N/A
Rolpa,37.5,60
Rukum_W,N/A,N/A
Rukum_E,N/A,N/A
Nawalparasi_W,N/A,N/A
Bhojpur,54.8,69.3
Dhankuta,64.3,74.4
Ilam,66.5,77.9
Jhapa,67.1,75.1
Khotang,50.2,68.8
Morang,57,70.6
Okhaldhunga,49.3,64.4
Panchthar,55.4,72.6
Sankhuwasabha,54.2,69.4
Solukhumbu,45.9,64.2
Sunsari,60.6,68.5
Taplejung,52.6,71.3
Terhathum,59.3,74.6
Udayapur,53.6,68.8
Bara,42.7,52
Mahottari,34.7,46.4
Parsa,42.6,55.9
Rautahat,32.7,41.7
Saptari,49.6,54.5
Siraha,40.7,50.2
Sarlahi,36.5,46.3
Sindhupalchok,40.6,59.6
Lalitpur,70.9,82.5
Bhaktapur,70.6,81.7
Kathmandu,77.2,86.3
Nuwakot,51.4,59.8
Rasuwa,34.3,53.6
Nawalparasi,53.3,70.8
Dhading,43.7,62.9
Sindhuli,50.5,60.5
Ramechhap,39.4,62.2
Dolakha,51.1,62.8
Chitawan,71.1,77
Baglung,61.7,71.9
Gorkha,54.3,66.3
Kaski,72.1,82.4
Lamjung,56.9,71.1
Manang,60.4,74.8
Mustang,52.1,66.2
Dolpa,35,54.1
Myagdi,56,71.9
Parbat,57,73.8
Syangja,66.7,76.6
Tanahu,62,74.8
Arghakhanchi,56.1,72.6
Banke,57.8,62.4
Bardiya,45.7,65.4
Dang,58,70.3
Gulmi,57.8,72.6
Kapilbastu,41.8,54.9
Palpa,66.2,76.2
Pyuthan,46.9,67
Rupandehi,66.2,69.8
Dailekh,48,62.5
Humla,27.1,47.8
Jajarkot,39.5,57.3
Jumla,32.5,54.7
Kalikot,38.5,56.8
Mugu,28,51.3
Salyan,48.5,64
Surkhet,62.7,73.1
Achham,33.8,55.7
Baitadi,51.9,63
Bajhang,35.5,55.6
Bajura,34.1,55.7
Dadeldhura,51.9,65.3
Doti,43.7,56.3
Rukum,40.3,62.1
Source(Literacy rate),"Population Census 1971, 1981, 1991, 2001, 2011"
Unit(Literacy rate),in percentage
