District,2001,2011
Population density (Per square kilometre),Population density (Per square kilometre)
Dhanusa,569,640
Kavrepalanchok,276,274
Makwanpur,162,173
Nawalparasi_E,N/A,N/A
Rolpa,112,119
Rukum_W,N/A,N/A
Rukum_E,N/A,N/A
Nawalparasi_W,N/A,N/A
Bhojpur,135,121
Dhankuta,187,183
Ilam,166,170
Jhapa,428,506
Khotang,145,130
Morang,455,520
Okhaldhunga,146,138
Panchthar,163,155
Sankhuwasabha,46,46
Solukhumbu,33,32
Sunsari,498,607
Taplejung,37,35
Terhathum,167,150
Udayapur,139,154
Bara,470,578
Mahottari,552,262
Parsa,367,444
Rautahat,484,610
Saptari,418,469
Siraha,428,536
Sarlahi,505,611
Sindhupalchok,120,113
Lalitpur,877,1216
Bhaktapur,1895,2560
Kathmandu,2739,4416
Nuwakot,257,248
Rasuwa,29,28
Nawalparasi,260,298
Dhading,176,174
Sindhuli,112,119
Ramechhap,137,131
Dolakha,93,85
Chitawan,213,261
Baglung,151,151
Gorkha,80,75
Kaski,189,244
Lamjung,105,99
Manang,4,3
Mustang,4,4
Dolpa,4,5
Myagdi,50,49
Parbat,319,297
Syangja,2073,248
Tanahu,204,209
Arghakhanchi,175,166
Banke,165,210
Bardiya,189,211
Dang,156,187
Gulmi,258,244
Kapilbastu,277,329
Palpa,196,190
Pyuthan,162,174
Rupandehi,521,647
Dailekh,150,174
Humla,7,9
Jajarkot,60,77
Jumla,35,43
Kalikot,61,79
Mugu,12,16
Salyan,146,166
Surkhet,118,143
Achham,138,153
Baitadi,154,165
Bajhang,49,57
Bajura,50,62
Dadeldhura,82,92
Doti,102,105
Rukum,65,72
Source(Population density),"Central Bureau of Statistics (1952, 1954, 1961, 1971, 1981, 2001, 2011). Population Census of Nepal. Kathmandu: Central Bureau of Statistics."
Unit(Population density),Per square kilometre
