District,2001,2011
Total population (in number),Total population (in number)
Dhanusa,671364,754777
Kavrepalanchok,385672,381937
Makwanpur,392604,420477
Nawalparasi_E,N/A,N/A
Rolpa,210004,224506
Rukum_W,N/A,N/A
Rukum_E,N/A,N/A
Nawalparasi_W,N/A,N/A
Bhojpur,203018,182459
Dhankuta,166479,163412
Ilam,282806,290254
Jhapa,688109,812650
Khotang,231385,206312
Morang,843220,965370
Okhaldhunga,156702,147984
Panchthar,202056,191817
Sankhuwasabha,159203,158742
Solukhumbu,107686,105886
Sunsari,625633,763487
Taplejung,134698,127461
Terhathum,113111,101577
Udayapur,287689,317532
Bara,559135,687708
Mahottari,553481,627580
Parsa,497219,601017
Rautahat,545132,686722
Saptari,570282,639284
Siraha,572399,637328
Sarlahi,635701,769729
Sindhupalchok,305857,287798
Lalitpur,337785,468132
Bhaktapur,225461,304651
Kathmandu,1081845,1744240
Nuwakot,288478,277471
Rasuwa,44731,43300
Nawalparasi,562870,643508
Dhading,338658,336067
Sindhuli,279821,296192
Ramechhap,212408,202646
Dolakha,204229,186557
Chitawan,472048,579984
Baglung,268937,268613
Gorkha,288134,271061
Kaski,380527,492098
Lamjung,177149,167724
Manang,9587,6538
Mustang,14981,13452
Dolpa,29545,36700
Myagdi,114447,113641
Parbat,157826,146590
Syangja,317320,289148
Tanahu,315237,323288
Arghakhanchi,208391,197632
Banke,385840,491313
Bardiya,382649,426576
Dang,462380,552583
Gulmi,296654,280160
Kapilbastu,481976,571936
Palpa,268558,261180
Pyuthan,212484,228102
Rupandehi,708419,880196
Dailekh,225201,261770
Humla,40595,50858
Jajarkot,134868,171304
Jumla,89427,108921
Kalikot,105580,136948
Mugu,43937,55286
Salyan,213500,242444
Surkhet,288527,350804
Achham,231285,257477
Baitadi,234418,250898
Bajhang,167026,195159
Bajura,108781,134912
Dadeldhura,126162,142094
Doti,207066,211746
Rukum,188438,208567
Source(Total population),"Central Bureau of Statistics (1952, 1954, 1961, 1971, 1981, 2001, 2011). Population Census of Nepal. Kathmandu: Central Bureau of Statistics."
Unit(Total population),in number
