District,2001
Women's in professional jobs (Percentage)
Dhanusa,11.39
Kavrepalanchok,21.38
Makwanpur,18.46
Nawalparasi_E,N/A
Rolpa,14.57
Rukum_W,N/A
Rukum_E,N/A
Nawalparasi_W,N/A
Bhojpur,15.02
Dhankuta,22
Ilam,18.18
Jhapa,20.23
Khotang,15.89
Morang,18.38
Okhaldhunga,20.48
Panchthar,14.57
Sankhuwasabha,16.64
Solukhumbu,16.36
Sunsari,16.78
Taplejung,19.08
Terhathum,21.7
Udayapur,13.84
Bara,12.11
Mahottari,9.11
Parsa,15.74
Rautahat,11.08
Saptari,9.79
Siraha,9.28
Sarlahi,11.51
Sindhupalchok,13.78
Lalitpur,24.51
Bhaktapur,27.14
Kathmandu,24.94
Nuwakot,15.32
Rasuwa,17.12
Nawalparasi,18.29
Dhading,19.96
Sindhuli,13.87
Ramechhap,8.17
Dolakha,13.13
Chitawan,21.11
Baglung,20.36
Gorkha,16.24
Kaski,21.2
Lamjung,18.96
Manang,18.34
Mustang,17.31
Dolpa,15.08
Myagdi,15.22
Parbat,18.37
Syangja,21.78
Tanahu,22.89
Arghakhanchi,19.39
Banke,22.29
Bardiya,19.01
Dang,16.65
Gulmi,18.48
Kapilbastu,16.42
Palpa,22.39
Pyuthan,11.04
Rupandehi,21.22
Dailekh,10.51
Humla,11.88
Jajarkot,21.09
Jumla,16.72
Kalikot,14.49
Mugu,10.42
Salyan,16.02
Surkhet,18.66
Achham,9.2
Baitadi,12.77
Bajhang,9.29
Bajura,14.06
Dadeldhura,9.9
Doti,7.91
Rukum,11.31
Source(Women's in professional jobs),"United Nation Development Programme (2004), Nepal Human Development Report: Pulchowk, Kathmandu, United Nation Development Programme."
Unit(Women's in professional jobs),Percentage
